編號,大分類,小分類,分類內序號,中文_簡體,English,Français,Deutsch
189,人文活動,告示牌,12,开放,open,ouvert,offen
190,人文活動,告示牌,13,关闭,closed,fermé,geschlossen
191,人文活動,告示牌,14,緊急出口,emergency exit,la sortie de secours,Notausgang
192,人文活動,告示牌,15,请勿进入,no entry,entrée interdite,Eintritt verboten
193,人文活動,告示牌,16,告示牌,sign,le panneau,Schild
194,人文活動,活動,1,活动,activity,l’activité,Aktivität
195,人文活動,活動,2,事件,event,l’événement,Ereignis
196,人文活動,活動,3,行动,action,l’action,Handlung
197,人文活動,活動,4,集合（阴性名词）,meeting (n.),la réunion,das Treffen
198,人文活動,活動,5,演唱会,concert,le concert,Konzert
199,人文活動,活動,6,狂欢节（阳性名词）,carnival (n.),le carnaval,der Karneval
200,人文活動,活動,7,节（阳性名词）,festival (n.),le festival,das Festival
201,人文活動,活動,8,文化,culture,la culture,Kultur
202,人文活動,活動,9,抗議,demonstration,la manifestation,Demonstration
203,人文活動,活動,10,夜间（阴性名词）,evening (n.),la soirée,der Abend
204,人文活動,活動,11,展览（阴性名词）,exhibition (n.),l’exposition,die Ausstellung
205,人文活動,活動,12,比賽,competition / match,le concours,der Wettbewerb
206,人文活動,活動,13,典礼,ceremony,la cérémonie,Zeremonie
207,人文活動,活動,14,约会（阳性名词）,"appointment, date (n.)",le rendez-vous,der Termin
208,人文活動,活動,15,节目（阳性名词）,"programme (TV), program (computer) (n.)",le programme,das Programm
209,人文活動,節日,1,节日，纪念日（阴性名 词）,"party, fair (n.)",la fête,das Fest
210,人文活動,節日,2,情人节,Valentine's Day,la Saint-Valentin,Valentinstag
211,人文活動,節日,3,圣诞节（阳性名词）,Christmas (n.),Noël,Weihnachten
212,人文活動,節日,4,万圣节,Halloween,Halloween,Halloween
213,人文活動,節日,5,复活节,Easter,Pâques,Ostern
214,人文活動,節日,6,新年,New Year's Day,le Nouvel An,Neujahr
215,人文活動,節日,7,国庆日,national holiday,la fête nationale,Nationalfeiertag
216,人文活動,節日,8,周年纪念日，生日（阳性 名词）,"birthday, anniversary (n.)",l’anniversaire,der Geburtstag
217,人文活動,節日,9,母親节,Mother's Day,la fête des Mères,Muttertag
218,人文活動,節日,10,父親节,Father's Day,la fête des Pères,Vatertag
219,人文活動,節日,11,婚礼,wedding,le mariage,die Hochzeit
220,人文活動,運動,1,运动（阳性名词）,sport (n.),le sport,der Sport
221,人文活動,運動,2,運动社團,sports club,le club de sport,Sportverein
222,人文活動,運動,3,比賽,competition / match,le match,das Spiel
223,人文活動,運動,4,瑜珈,yoga,le yoga,Yoga
224,人文活動,運動,5,跳舞（动词）,dance (v.),danser,tanzen
225,人文活動,運動,6,溜冰,ice skating,le patinage,Eislaufen
226,人文活動,運動,7,游泳（阴性名词）,swimming (n.),la natation,das Schwimmen
227,人文活動,運動,8,馬術,horse riding,l’équitation,Reiten
228,人文活動,運動,9,羽毛球,badminton,le badminton,Badminton
229,人文活動,運動,10,网球（阳性名词）,tennis (n.),le tennis,das Tennis
230,人文活動,運動,11,足球（阳性名词）,football (n.),le football,der Fußball
231,人文活動,運動,12,籃球,basketball,le basket-ball,Basketball
232,人文活動,運動,13,排球（阳性名词）,volleyball (n.),le volley-ball,das Volleyball
233,人文活動,運動,14,跑步（阳性名词）,jogging (n.),le jogging,das Jogging
234,人文活動,運動,15,自行车（阳性名词）,bike (n.),le vélo,das Fahrrad
235,人文活動,運動,16,滑雪（阳性名词）,skiing (n.),le ski,der Ski
236,人文活動,運動,17,肌肉锻炼（阴性名词）,body-building (n.),la musculation,das Bodybuilding
237,人文活動,運動,18,桌球,table tennis,le tennis de table,Tischtennis
238,人文活動,遊戲,1,游戏（阳性名词）,game (n.),le jeu,das Spiel
239,人文活動,遊戲,2,玩具,toy,le jouet,Spielzeug
240,人文活動,遊戲,3,乐透,lottery,le loto,Lotto
241,人文活動,遊戲,4,菜单，卡片（阴性名词）,"menu, card (n.)",la carte,die Karte
242,人文活動,遊戲,5,桌遊,board game,le jeu de société,Brettspiel
243,人文活動,興趣,1,空闲时间（阳性名词）,leisure (n.),le loisir,die Freizeit
244,人文活動,興趣,2,暫停/休息,break,la pause,Pause
245,人文活動,興趣,3,露營,camping,le camping,Camping
246,人文活動,興趣,4,照相,photography,la photographie,Fotografie
247,人文活動,興趣,5,閱讀,reading,la lecture,das Lesen
248,人文活動,興趣,6,散步（阴性名词）,walk (n.),la promenade,der Spaziergang
249,人文活動,興趣,7,手作,DIY / crafts,le bricolage,das Basteln
250,人文活動,興趣,8,園藝,gardening,le jardinage,Gartenarbeit
251,人文活動,樂器,1,吉他,guitar,la guitare,Gitarre
252,人文活動,樂器,2,鋼琴,piano,le piano,Klavier
253,人文活動,樂器,3,打擊乐,percussion,la percussion,das Schlagzeug
254,人文活動,學業,1,学校,school,l’école,Schule
255,人文活動,學業,2,教育/学問,education,l’éducation,Bildung
256,人文活動,學業,3,登记注册（阴性名词）,registration (n.),l’inscription,die Anmeldung
257,人文活動,學業,4,食堂,canteen,la cantine,Kantine
258,人文活動,學業,5,幼儿園,kindergarten,l’école maternelle,Kindergarten
259,人文活動,學業,6,小学,primary school,l’école primaire,Grundschule
260,人文活動,學業,7,初中（阳性名词）,middle school (n.),le collège,die Mittelschule
261,人文活動,學業,8,高中,high school,le lycée,das Gymnasium
262,人文活動,學業,9,大学（阴性名词）,university (n.),l’université,die Universität
263,人文活動,學業,10,学士,bachelor's degree,la licence,Bachelor
264,人文活動,學業,11,碩士,master's degree,le master,Master
265,人文活動,學業,12,博士学位（阳性名词）,phd (n.),le doctorat,das Doktorat
266,人文活動,學業,13,课程，过程（阳性名词）,class (n.),le cours,der Kurs
267,人文活動,學業,14,等级，班级（阴性名词）,class (n.),la classe,die Klasse
268,人文活動,學業,15,应该（动词）,"owe, have to (v.)",devoir,müssen
269,人文活動,學業,16,成績,grade / score,la note,Note
270,人文活動,學業,17,文憑,diploma,le diplôme,Diplom
271,人文活動,學業,18,学生证,student card,la carte d’étudiant,Studentenausweis
272,人文活動,科目,1,音乐（阴性名词）,music (n.),la musique,die Musik
273,人文活動,科目,2,文学,literature,la littérature,Literatur
274,人文活動,科目,3,历史（阴性名词）,history (n.),l’histoire,die Geschichte
275,人文活動,科目,4,地理,geography,la géographie,Geografie
276,人文活動,科目,5,物理,physics,la physique,Physik
277,人文活動,科目,6,化学,chemistry,la chimie,Chemie
278,人文活動,科目,7,数学,mathematics,les mathématiques,Mathematik
279,人文活動,科目,8,生物,biology,la biologie,Biologie
280,人文活動,科目,9,体育,physical education,l’EPS,Sportunterricht
281,人文活動,科目,10,藝術,art,l’art,Kunst
282,人文活動,科目,11,經濟,economy / economics,l’économie,die Wirtschaft
283,人文活動,書,1,书,book,le livre,Buch
284,人文活動,書,2,小冊子,brochure,la brochure,Broschüre
285,人文活動,書,3,逐字稿,transcript,la transcription,Transkript
286,人文活動,書,4,字典,dictionary,le dictionnaire,Wörterbuch
287,人文活動,書,5,长篇小说（阳性名词）,novel (n.),le roman,der Roman
288,人文活動,書,6,閱讀,reading,la lecture,das Lesen
289,人文活動,書,7,版本,edition,l’édition,Ausgabe
290,人文活動,書,8,參考,reference,la référence,Referenz
291,人文活動,書,9,页（阴性名词）,page (n.),la page,die Seite
292,人文活動,書,10,章节,chapter,le chapitre,Kapitel
293,人文活動,書,11,標題,title,le titre,Titel
294,人文活動,書,12,作者,author,l’auteur,der Autor
295,人文活動,書,13,圖书馆藏书,work / library item,l’ouvrage,Werk
296,人文活動,考試,1,听（动词）,listen (v.),écouter,zuhören
297,人文活動,考試,2,说（动词）,"say, tell (v.)",dire,sagen
298,人文活動,考試,3,讀,reading,lire,lesen
299,人文活動,考試,4,写（动词）,write (v.),écrire,schreiben
300,人文活動,考試,5,味覺,taste,le goût,Geschmack
301,人文活動,考試,6,触（动词）,touch (v.),toucher,berühren
302,人文活動,考試,7,檢驗,check / test,le contrôle,Kontrolle
303,人文活動,考試,8,測驗,test,le test,Test
304,人文活動,考試,9,考试（阳性名词）,"exam, medical (n.)",l’examen,die Prüfung
305,人文活動,考試,10,題目,question,la question,Frage
306,人文活動,考試,11,答案,answer,la réponse,Antwort
307,人文活動,考試,12,成績,grade / score,la note,Note
308,人文活動,考試,13,证书,certificate,le certificat,Zertifikat
309,人文活動,考試,14,口試,oral exam,l’oral,mündliche Prüfung
310,人文活動,考試,15,笔試,written exam,l’écrit,schriftliche Prüfung
311,人文活動,語言,1,语言（阴性名词）,"language, tongue (n.)",la langue,die Sprache
312,人文活動,語言,2,外国人（阳性名词）,"stranger, foreigner (n.)",l’étranger,der Ausländer
313,人文活動,語言,3,中文,Chinese,le chinois,Chinesisch
314,人文活動,語言,4,法国的（形容词）,French (adj.),français,französisch
315,人文活動,語言,5,英文,English,l’anglais,Englisch
316,人文活動,語言,6,單字,word,le mot,Wort
317,人文活動,語言,7,字,letter,la lettre,Buchstabe
318,人文活動,語言,8,句子,sentence,la phrase,Satz
319,人文活動,語言,9,条款（阳性名词）,"article, item (n.)",l’article,der Artikel
320,人文活動,語言,10,文本,text,le texte,Text
321,人文活動,語言,11,语法（阴性名词）,grammar (n.),la grammaire,die Grammatik
322,人文活動,語言,12,陰阳性,gender,le genre,Genus
323,人文活動,語言,13,拼字,spelling,l’orthographe,Rechtschreibung
324,人文活動,語言,14,翻譯,translation,la traduction,Übersetzung
325,人文活動,語言,15,对話,dialogue,le dialogue,Dialog
326,人文活動,語言,16,母語,mother tongue,la langue maternelle,Muttersprache
327,人文活動,語言,17,重音（阳性名词）,accent (n.),l’accent,der Akzent
328,人文活動,語言,18,意思,meaning,le sens,Bedeutung
329,人文活動,語言,19,表达,expression,l’expression,Ausdruck
330,人文活動,發音,1,发音,pronunciation,la prononciation,Aussprache
331,人文活動,發音,2,嗓子,throat,la gorge,der Hals
332,人文活動,發音,3,声音（阳性名词）,sound (n.),le son,der Ton
333,人文活動,發音,4,音標,phonetic symbol,le symbole phonétique,Lautschriftzeichen
334,人文活動,發音,5,节奏（阳性名词）,rhythm (n.),le rythme,der Rhythmus
335,人文活動,發音,6,語调,intonation,l’intonation,Intonation
336,人文活動,發音,7,母音,vowel,la voyelle,Vokal
337,人文活動,發音,8,子音,consonant,la consonne,Konsonant
338,人文活動,發音,9,連音,liaison,la liaison,die Liaison
339,人文活動,國家,1,德国,Germany,l’Allemagne,Deutschland
340,人文活動,國家,2,中国,China,la Chine,China
341,人文活動,國家,3,西班牙,Spain,l’Espagne,Spanien
342,人文活動,國家,4,美国,United States,les États-Unis,Vereinigte Staaten
343,人文活動,國家,5,法国,France,la France,Frankreich
344,人文活動,國家,6,義大利,Italy,l’Italie,Italien
345,人文活動,國家,7,日本,Japan,le Japon,Japan
346,人文活動,國家,8,英国,United Kingdom,le Royaume-Uni,Vereinigtes Königreich
347,人文活動,國家,9,台灣,Taiwan,Taïwan,Taiwan
348,人文活動,文件,1,文件（阳性名词）,document (n.),le document,das Dokument
349,人文活動,文件,2,登記卡,registration form,la fiche d’inscription,Anmeldeformular
350,人文活動,文件,3,差号,queue number,le numéro d’attente,Wartenummer
351,人文活動,文件,4,表,form,le formulaire,Formular
352,人文活動,文件,5,影本,copy,la copie,Kopie
353,人文活動,文件,6,原始的（形容词）,original (adj.),original,original
354,人文活動,文件,7,收據,receipt,le reçu,Quittung
355,人文活動,商業,1,商业（阳性名词）,"trade, business (n.)",le commerce,der Handel
356,人文活動,商業,2,經濟,economy / economics,l’économie,die Wirtschaft
357,人文活動,商業,3,行銷,marketing,le marketing,Marketing
358,人文活動,商業,4,社会（阴性名词）,"company, society (n.)",la société,die Gesellschaft
359,人文活動,商業,5,客戶,client,le client,Kunde
360,人文活動,銀行,1,银行卡（阴性名词）,bank card (n.),la carte bancaire,die Bankkarte
361,人文活動,銀行,2,提款机,ATM,le distributeur,Geldautomat
362,人文活動,銀行,3,支票（阳性名词）,cheque (n.),le chèque,der Scheck
363,人文活動,銀行,4,银，货币，钱（阳性名 词）,money (n.),l’argent,das Geld
364,人文活動,銀行,5,欧元（阳性名词）,euro (n.),l’euro,der Euro
365,人文活動,銀行,6,小数點之後分錢,cent,le centime,Cent
366,人文活動,銀行,7,票，门票（阳性名词）,ticket (n.),le billet,die Karte
367,人文活動,銀行,8,货币（阴性名词）,currency (n.),la monnaie,die Währung
368,人文活動,銀行,9,硬幣,coins,les pièces,Münzen
369,人文活動,銀行,10,计数（阳性名词）,account (n.),le compte,das Konto
370,人文活動,銀行,11,转账,bank transfer,le virement,Überweisung
371,人文活動,銀行,12,密码（阳性名词）,password (n.),le mot de passe,das Passwort
372,人文活動,銀行,13,付款,payment,le paiement,Zahlung
373,人文活動,銀行,14,银行（阴性名词）,bank (n.),la banque,die Bank
374,人文活動,銀行,15,柜台,counter / reception,le guichet,der Schalter
375,人文活動,資訊,1,报纸（阳性名词）,newspaper (n.),le journal,die Zeitung
376,人文活動,資訊,2,杂志（阳性名词）,magazine (n.),le magazine,das Magazin
377,人文活動,資訊,3,新聞,news,les nouvelles,Nachrichten
378,人文活動,文具,1,办公用品,office supplies,les fournitures de bureau,Bürobedarf
379,人文活動,文具,2,剪刀（阳性名词复数）,scissors (n.pl.),les ciseaux,die Schere
380,人文活動,文具,3,膠帶,tape,le ruban adhésif,Klebeband
381,人文活動,文具,4,尺,ruler,la règle,Lineal
382,人文活動,文具,5,计算机,calculator,la calculatrice,Taschenrechner
383,人文活動,文具,6,橡皮擦,eraser,la gomme,Radiergummi
384,人文活動,文具,7,鉛笔,pencil,le crayon,Bleistift
385,人文活動,文具,8,钢笔（阳性名词）,pen (n.),le stylo-plume,der Füller
386,人文活動,文具,9,笔記本,notebook,le cahier,Heft
387,人文活動,文具,10,纸张(阳性名词),paper (n.),le papier,das Papier
388,人文活動,文具,11,资料夾,folder / binder,le classeur,Ordner
389,人文活動,文具,12,信封,envelope,l’enveloppe,Umschlag
390,人文活動,文具,13,螢光笔,highlighter,le surligneur,Textmarker
391,人文活動,身體,1,身体,body,le corps,der Körper
392,人文活動,身體,2,头,head,la tête,der Kopf
393,人文活動,身體,3,头发,hair,les cheveux,die Haare
394,人文活動,身體,4,臉,face,le visage,das Gesicht
